Unnamed: 0,Unnamed: 0.1,rank dates,rebalance dates,code,in/out,enter_date,enter_price,exit_date,exit_price,beta
189,196,2011-06-13,2011-06-30,601988.SH,0,2011-06-14,3.15,2011-07-01,3.16,0.5212716233958259
190,197,2011-06-13,2011-06-30,601998.SH,0,2011-06-14,4.9,2011-06-28,4.8,0.9741914281257302
191,198,2011-06-13,2011-06-30,601618.SH,0,2011-06-14,3.8,2011-07-01,3.94,0.89583923013771
192,199,2011-06-13,2011-06-30,601788.SH,0,2011-06-14,13.35,2011-07-01,13.78,1.30754715752572
193,200,2011-06-13,2011-06-30,600005.SH,0,2011-06-14,4.21,2011-07-01,4.15,0.8257655636983434
194,201,2011-06-13,2011-06-30,600188.SH,1,2011-06-14,31.85,2011-07-01,35.5,1.308422389816018
195,202,2011-06-13,2011-06-30,600585.SH,1,2011-06-14,35.21,2011-07-01,28.0,1.7589288674089187
196,203,2011-06-13,2011-06-30,601989.SH,1,2011-06-14,12.32,2011-07-01,13.7,1.0734506689152192
197,204,2011-06-13,2011-06-30,601766.SH,1,2011-06-15,7.0,2011-07-01,7.16,1.1317165700293217
198,205,2011-06-13,2011-06-30,601118.SH,1,2011-06-14,11.27,2011-07-01,12.37,1.3870067490354014
199,206,2010-12-13,2011-01-03,601766.SH,0,2010-12-14,8.22,2011-01-04,7.65,0.7730645517294641
200,207,2010-12-13,2011-01-03,601186.SH,0,2010-12-14,7.16,2011-01-04,6.82,0.5876196209034507
201,208,2010-12-13,2011-01-03,600795.SH,0,2010-12-14,3.36,2011-01-04,3.06,0.49003882762168166
202,209,2010-12-13,2011-01-03,600739.SH,0,2010-12-14,34.1,2011-01-04,30.57,1.7046393370293496
203,210,2010-12-13,2011-01-03,600550.SH,0,2010-12-14,24.83,2011-01-04,23.29,0.8576245390080675
204,211,2010-12-13,2011-01-03,601818.SH,1,2010-12-14,3.83,2011-01-04,3.98,1.1623326972175632
205,212,2010-12-13,2011-01-03,600031.SH,1,2010-12-14,22.36,2011-01-04,21.82,1.0292836406495836
206,213,2010-12-13,2011-01-03,601688.SH,1,2010-12-14,14.68,2011-01-04,13.75,1.4293413264600061
207,214,2010-12-13,2011-01-03,600348.SH,1,2010-12-14,29.3,2011-01-04,29.37,1.6871797273161626
208,215,2010-12-13,2011-01-03,600111.SH,1,2010-12-14,71.1,2011-01-04,72.2,1.2476458299439226
209,216,2010-07-16,2010-07-28,601727.SH,0,2010-07-19,6.8,2010-07-29,7.48,0.9925327500150405
210,217,2010-07-16,2010-07-28,601288.SH,1,2010-07-19,2.68,2010-07-29,2.84,0.5901782033179913
211,218,2010-06-17,2010-06-30,600018.SH,0,2010-06-18,4.22,2010-07-01,3.82,0.6467491943970025
212,219,2010-06-17,2010-06-30,600029.SH,0,2010-06-18,6.6,2010-07-01,6.1,1.309094875018193
213,220,2010-06-17,2010-06-30,600320.SH,0,2010-06-18,6.73,2010-07-01,6.14,1.1112198187038944
214,221,2010-06-17,2010-06-30,600598.SH,0,2010-06-18,12.63,2010-07-01,11.3,0.8216394112933212
215,222,2010-06-17,2010-06-30,601998.SH,1,2010-06-18,5.5,2010-07-01,5.38,1.101892117318051
216,223,2010-06-17,2010-06-30,601618.SH,1,2010-06-18,4.06,2010-07-01,3.97,0.6897592630020017
217,224,2010-06-17,2010-06-30,601788.SH,1,2010-06-18,16.12,2010-07-01,15.25,1.3969134862076629
218,225,2010-06-17,2010-06-30,601699.SH,1,2010-06-18,33.36,2010-07-01,31.02,1.5235568308320975
219,226,2009-12-14,2010-01-03,601998.SH,0,2009-12-15,8.1,2010-01-04,8.3,1.3192754709763974
220,227,2009-12-14,2010-01-03,600009.SH,0,2009-12-15,15.83,2010-01-04,17.45,0.5772592840112042
221,228,2009-12-14,2010-01-03,601333.SH,0,2009-12-15,4.97,2010-01-04,4.8,0.6212257914553867
222,229,2009-12-14,2010-01-03,600642.SH,0,2009-12-15,11.9,2010-01-04,11.42,0.7056195367406217
223,230,2009-12-14,2010-01-03,600177.SH,0,2009-12-15,14.6,2010-01-04,14.59,0.8980209847517653
224,231,2009-12-14,2010-01-03,601668.SH,1,2009-12-15,4.95,2010-01-04,4.72,0.5553443381788172
225,232,2009-12-14,2010-01-03,600547.SH,1,2009-12-15,83.89,2010-01-04,79.91,0.9023608812360423
226,233,2009-12-14,2010-01-03,600489.SH,1,2009-12-15,61.19,2010-01-04,57.95,0.7354181141551587
227,234,2009-12-14,2010-01-03,600089.SH,1,2009-12-15,23.83,2010-01-04,24.0,0.5580710226057962
228,235,2009-12-14,2010-01-03,600383.SH,1,2009-12-15,15.2,2010-01-04,13.87,0.8905987464038017
229,236,2009-06-15,2009-06-30,601991.SH,0,2009-06-16,7.64,2009-07-01,8.11,1.0551847009114874
230,237,2009-06-15,2009-06-30,600010.SH,0,2009-06-16,3.71,2009-07-01,3.95,1.0222542470432971
231,238,2009-06-15,2009-06-30,601588.SH,0,2009-06-16,5.45,2009-07-01,6.02,1.255685198213167
232,239,2009-06-15,2009-06-30,600001.SH,0,2009-06-16,5.03,2009-07-01,5.55,1.1937833245583136
233,240,2009-06-15,2009-06-30,600497.SH,0,2009-06-16,19.63,2009-07-01,19.65,1.4617581252495118
234,241,2009-06-15,2009-06-30,601727.SH,1,2009-06-16,10.35,2009-07-01,10.36,0.9034484735493052
235,242,2009-06-15,2009-06-30,601766.SH,1,2009-06-16,4.73,2009-07-01,5.28,0.7691871973558065
236,243,2009-06-15,2009-06-30,601958.SH,1,2009-06-16,13.86,2009-07-01,15.95,1.4559550279830469
237,244,2009-06-15,2009-06-30,600550.SH,1,2009-06-16,35.55,2009-07-01,35.6,0.7747024411777995
238,245,2009-06-15,2009-06-30,600598.SH,1,2009-06-16,12.65,2009-07-01,12.84,0.6716295944935539
239,246,2008-12-15,2009-01-04,600717.SH,0,2008-12-16,9.15,2009-01-05,8.78,1.0806100220029444
240,247,2008-12-15,2009-01-04,600881.SH,0,2008-12-16,6.6,2009-01-05,5.87,1.3501454565124154
241,248,2008-12-15,2009-01-04,600887.SH,0,2008-12-16,8.68,2009-01-05,8.13,0.737704399461343
