,dates,year,code,in/out,enter_date,close_date,beta
4718,2016-05-06,2016,JAZZ,0,2016-05-09,2016-06-27,1.762267978152657
4719,2016-05-06,2016,IVTY,0,2016-05-09,2016-06-27,0.7384537534388742
4720,2016-05-06,2016,IPI,0,2016-05-09,2016-06-27,2.1314502278243195
4721,2016-05-06,2016,IO,0,2016-05-09,2016-06-27,2.901922726138642
4722,2016-05-06,2016,IMBI,0,2016-05-09,2016-06-27,1.3746410417825292
4723,2016-05-06,2016,HOT,0,2016-05-09,2016-06-27,1.2938120147190533
4724,2016-05-06,2016,HNRG,0,2016-05-09,2016-06-27,1.0505380423303916
4725,2016-05-06,2016,HNGR,0,2016-05-09,2016-06-27,1.8726765475553573
4726,2016-05-06,2016,HHS,0,2016-05-09,2016-06-27,2.1177935350574697
4727,2016-05-06,2016,HBIO,0,2016-05-09,2016-06-27,1.413569304392427
4728,2016-05-06,2016,GSTCQ,0,2016-05-09,2016-06-27,2.27732853490642
4729,2016-05-06,2016,GOGL,0,2016-05-09,2016-06-27,1.6422651089022762
4730,2016-05-06,2016,GNCA,0,2016-05-09,2016-06-27,2.5069805944337125
4731,2016-05-06,2016,GLAE,0,2016-05-09,2016-06-27,0.4947534217522202
4732,2016-05-06,2016,FWMHQ,0,2016-05-09,2016-06-27,-1.630966483416756
4733,2016-05-06,2016,FVE,0,2016-05-09,2016-06-27,1.433837023134095
4734,2016-05-06,2016,FSTR,0,2016-05-09,2016-06-27,2.290839168980212
4735,2016-05-06,2016,FENX,0,2016-05-09,2016-06-27,1.100057105387169
4736,2016-05-06,2016,FCFS,0,2016-05-09,2016-06-27,1.025750635859055
4737,2016-05-06,2016,EVRI,0,2016-05-09,2016-06-27,1.4589246552512405
4738,2016-05-06,2016,ENPH,0,2016-05-09,2016-06-27,3.268322238280584
4739,2016-05-06,2016,EGLE,0,2016-05-09,2016-06-27,1.9093833328144276
4740,2016-05-06,2016,DRNA,0,2016-05-09,2016-06-27,2.641759403352681
4741,2016-05-06,2016,DHC,0,2016-05-09,2016-06-27,0.5214201666521078
4742,2016-05-06,2016,CYTK,0,2016-05-09,2016-06-27,1.4234348194394104
4743,2016-05-06,2016,CVGI,0,2016-05-09,2016-06-27,1.2286936682020104
4744,2016-05-06,2016,CVEO,0,2016-05-09,2016-06-27,2.9995124593062634
